ADMA	ADMA Biologics, Inc.	Biotechnology	3.71B
ADNT	Adient plc	Auto Parts	1.91B
ADP	Automatic Data Processing, Inc.	Software - Application	86.31B
ADPT	Adaptive Biotechnologies Corporation	Biotechnology	2.47B
ADSE	ADS-TEC Energy PLC	Electrical Equipment & Parts	709.45M
ADSK	Autodesk, Inc.	Software - Application	52.02B
ADT	ADT Inc.	Security & Protection Services	6.52B
ADTN	ADTRAN Holdings, Inc.	Communication Equipment	822.73M
ADTX	Aditxt, Inc.	Biotechnology	812.00K
ADUR	Aduro Clean Technologies Inc.	Pollution & Treatment Controls	364.50M
ADUS	Addus HomeCare Corporation	Medical Care Facilities	1.88B
ADV	Advantage Solutions Inc.	Advertising Agencies	171.06M
ADVB	Advanced Biomed Inc.	Diagnostics & Research	5.54M
ADXN	Addex Therapeutics Ltd	Biotechnology	7.28M
AEAQ	Activate Energy Acquisition Corp.	Shell Companies	310.64M
AEBI	Aebi Schmidt Holding AG	Farm & Heavy Construction Machinery	1.12B
AEC	Anfield Energy Inc.	Uranium	122.47M
AEE	Ameren Corporation	Utilities - Regulated Electric	31.31B
AEG	Aegon Ltd.	Insurance - Diversified	11.45B
AEHL	Antelope Enterprise Holdings Limited	Building Products & Equipment	5.53M
AEHR	Aehr Test Systems, Inc.	Semiconductor Equipment & Materials	1.15B
AEI	Alset Inc.	Real Estate - Development	85.58M
AEIS	Advanced Energy Industries, Inc.	Electrical Equipment & Parts	12.67B
AEM	Agnico Eagle Mines Limited	Gold	125.88B
AEMD	Aethlon Medical, Inc.	Medical Devices	2.64M
AENT	Alliance Entertainment Holding Corporation	Entertainment	275.68M
AEO	American Eagle Outfitters, Inc.	Apparel Retail	4.16B
AEON	AEON Biopharma, Inc.	Biotechnology	28.34M
AEP	American Electric Power Company, Inc.	Utilities - Regulated Electric	72.38B
AER	AerCap Holdings N.V.	Rental & Leasing Services	24.32B
AERO	Grupo Aeroméxico, S.A.B. de C.V.	Airlines	2.76B
AERT	Aeries Technology, Inc	Consulting Services	15.46M
AES	The AES Corporation	Utilities - Diversified	12.31B
AESI	Atlas Energy Solutions Inc.	Oil & Gas Equipment & Services	1.20B
AEVA	Aeva Technologies, Inc.	Software - Infrastructure	796.66M
AEXA	American Exceptionalism Acquisition Corp. A	Shell Companies	545.06M
AEYE	AudioEye, Inc.	Software - Application	84.69M
AFBI	Affinity Bancshares, Inc.	Banks - Regional	121.30M
AFCG	Advanced Flower Capital Inc.	REIT - Mortgage	51.52M
AFG	American Financial Group, Inc.	Insurance - Property & Casualty	11.08B
AFJK	Aimei Health Technology Co., Ltd	Shell Companies	197.79M
AFL	Aflac Incorporated	Insurance - Life	58.31B
AFRI	Forafric Global PLC	Farm Products	259.87M
AFRM	Affirm Holdings, Inc.	Credit Services	15.65B
AFYA	Afya Limited	Education & Training Services	1.23B
AG	First Majestic Silver Corp.	Silver	15.78B
AGAE	Allied Gaming & Entertainment Inc.	Entertainment	12.65M
AGBK	AGI Inc	Banks - Regional	1.87B
AGCC	Agencia Comercial Spirits Ltd	Beverages - Wineries & Distilleries	264.95M
AGCO	AGCO Corporation	Farm & Heavy Construction Machinery	9.88B
AGEN	Agenus Inc.	Biotechnology	113.25M
AGH	Aureus Greenway Holdings Inc.	Leisure	60.98M
AGI	Alamos Gold Inc.	Gold	22.76B
AGIG	Abundia Global Impact Group Inc.	Utilities - Renewable	174.68M
AGIO	Agios Pharmaceuticals, Inc.	Biotechnology	1.77B
AGL	agilon health, inc.	Medical Care Facilities	244.48M
AGM	Federal Agricultural Mortgage Corporation	Credit Services	1.71B
AGM.A	Federal Agricultural Mortgage Corporation	Credit Services	1.68B
AGMB	AgomAb Therapeutics NV	Biotechnology	780.76M
AGMH	AGM Group Holdings Inc.	Computer Hardware	3.13M
AGNC	AGNC Investment Corp.	REIT - Mortgage	12.43B
AGNCM	AGNC Investment Corp.	REIT - Mortgage	12.18B
AGO	Assured Guaranty Ltd.	Insurance - Specialty	3.89B
AGPU	Axe Compute Inc.	Software - Infrastructure	6.38M
AGRO	Adecoagro S.A.	Farm Products	1.26B
AGRZ	Agroz Inc.	Farm Products	8.33M
AGX	Argan, Inc.	Engineering & Construction	6.26B
AGYS	Agilysys, Inc.	Software - Application	2.02B
AHCO	AdaptHealth Corp.	Medical Devices	1.24B
AHG	Akso Health Group	Medical Distribution	1.22B
AHH	Armada Hoffler Properties, Inc.	REIT - Diversified	648.11M
AHMA	Ambitions Enterprise Management Co. L.L.C	Travel Services	190.54M
AHR	American Healthcare REIT, Inc.	REIT - Healthcare Facilities	9.82B
AHT	Ashford Hospitality Trust, Inc.	REIT - Hotel & Motel	19.53M
AI	C3.ai, Inc.	Software - Infrastructure	1.12B
AIFF	Firefly Neuroscience, Inc.	Software - Application	9.91M
AIFU	AIFU Inc.	Insurance Brokers	238.38M
AIG	American International Group, Inc.	Insurance - Diversified	43.19B
AIHS	Senmiao Technology Limited	Rental & Leasing Services	5.92M
AII	American Integrity Insurance Group, Inc.	Insurance - Property & Casualty	398.63M
AIIA	AI Infrastructure Acquisition Corp.	Shell Companies	193.67M
AIIO	Robo.ai Inc.	Auto Manufacturers	52.85M
AIMD	Ainos, Inc.	Scientific & Technical Instruments	11.45M
AIN	Albany International Corp.	Textile Manufacturing	1.65B
AIOS	AIOS Tech Inc.	Credit Services	2.87M
AIOT	PowerFleet, Inc.	Software - Infrastructure	476.49M
AIP	Arteris, Inc.	Semiconductors	772.49M
AIR	AAR Corp.	Aerospace & Defense	4.57B
AIRE	reAlpha Tech Corp.	Real Estate Services	41.56M
AIRG	Airgain, Inc.	Communication Equipment	50.22M
AIRI	Air Industries Group	Aerospace & Defense	16.16M
AIRJ	AirJoule Technologies Corporation	Building Products & Equipment	218.85M
