CRON	Cronos Group Inc.	Drug Manufacturers - Specialty & Generic	1.03B
CROX	Crocs, Inc.	Footwear & Accessories	4.56B
CRS	Carpenter Technology Corporation	Metal Fabrication	19.83B
CRSP	CRISPR Therapeutics AG	Biotechnology	5.77B
CRSR	Corsair Gaming, Inc.	Computer Hardware	585.58M
CRT	Cross Timbers Royalty Trust	Oil & Gas Exploration & Production	54.03M
CRTO	Criteo S.A.	Advertising Agencies	939.05M
CRUS	Cirrus Logic, Inc.	Semiconductors	7.20B
CRVL	CorVel Corporation	Insurance Brokers	2.64B
CRVO	CervoMed Inc.	Biotechnology	36.92M
CRVS	Corvus Pharmaceuticals, Inc.	Biotechnology	1.53B
CRWD	CrowdStrike Holdings, Inc.	Software - Infrastructure	93.78B
CRWS	Crown Crafts, Inc.	Furnishings, Fixtures & Appliances	31.24M
CRWV	CoreWeave, Inc.	Software - Infrastructure	41.47B
CSAI	Cloudastructure Inc.	Software - Infrastructure	12.96M
CSAN	Cosan S.A.	Oil & Gas Refining & Marketing	4.85B
CSBR	Champions Oncology, Inc.	Biotechnology	82.69M
CSCO	Cisco Systems, Inc.	Communication Equipment	313.86B
CSGP	CoStar Group, Inc.	Real Estate Services	18.74B
CSGS	CSG Systems International, Inc.	Software - Infrastructure	2.21B
CSIQ	Canadian Solar Inc.	Solar	1.19B
CSL	Carlisle Companies Incorporated	Building Products & Equipment	16.10B
CSPI	CSP Inc.	Information Technology Services	89.32M
CSR	Centerspace	REIT - Residential	1.11B
CSTE	Caesarstone Ltd.	Building Products & Equipment	47.34M
CSTL	Castle Biosciences, Inc.	Diagnostics & Research	863.11M
CSTM	Constellium SE	Aluminum	3.36B
CSV	Carriage Services, Inc.	Personal Services	725.38M
CSW	CSW Industrials, Inc.	Specialty Industrial Machinery	4.85B
CSWC	Capital Southwest Corporation	Asset Management	1.32B
CSX	CSX Corporation	Railroads	79.38B
CTAA	ClearThink 1 Acquisition Corp.	Shell Companies	169.31M
CTAS	Cintas Corporation	Specialty Business Services	80.43B
CTBI	Community Trust Bancorp, Inc.	Banks - Regional	1.09B
CTEV	Claritev Corporation	Health Information Services	222.97M
CTGO	Contango Ore, Inc.	Gold	496.79M
CTKB	Cytek Biosciences, Inc.	Medical Devices	575.90M
CTLP	Cantaloupe, Inc.	Software - Infrastructure	769.64M
CTM	Castellum, Inc.	Information Technology Services	92.88M
CTMX	CytomX Therapeutics, Inc.	Biotechnology	909.87M
CTNM	Contineum Therapeutics, Inc.	Biotechnology	560.36M
CTNT	Cheetah Net Supply Chain Service Inc.	Integrated Freight & Logistics	62.68M
CTO	CTO Realty Growth, Inc.	REIT - Diversified	634.26M
CTOR	Citius Oncology, Inc.	Drug Manufacturers - Specialty & Generic	98.87M
CTOS	Custom Truck One Source, Inc.	Rental & Leasing Services	1.62B
CTRA	Coterra Energy Inc.	Oil & Gas Exploration & Production	23.21B
CTRE	CareTrust REIT, Inc.	REIT - Healthcare Facilities	9.07B
CTRI	Centuri Holdings, Inc.	Utilities - Regulated Gas	3.13B
CTRM	Castor Maritime Inc.	Marine Shipping	21.06M
CTRN	Citi Trends, Inc.	Apparel Retail	379.57M
CTS	CTS Corporation	Electronic Components	1.51B
CTSH	Cognizant Technology Solutions Corporation	Information Technology Services	30.81B
CTSO	Cytosorbents Corporation	Medical Devices	47.26M
CTVA	Corteva, Inc.	Agricultural Inputs	53.88B
CTW	CTW Cayman	Other	94.22M
CTXR	Citius Pharmaceuticals, Inc.	Biotechnology	16.56M
CUB	Lionheart Holdings	Shell Companies	329.67M
CUBE	CubeSmart	REIT - Industrial	9.42B
CUBI	Customers Bancorp, Inc.	Banks - Regional	2.31B
CUE	Cue Biopharma, Inc.	Biotechnology	25.56M
CUK	Carnival Corporation & plc	Travel Services	43.62B
CULP	Culp, Inc.	Textile Manufacturing	40.52M
CUPR	Cuprina Holdings (Cayman) Limited	Medical Instruments & Supplies	7.86M
CURB	Curbline Properties Corp.	REIT - Retail	2.93B
CURI	CuriosityStream Inc.	Broadcasting	197.05M
CURR	CURRENC Group Inc.	Software - Application	160.12M
CURV	Torrid Holdings Inc.	Apparel Retail	101.18M
CUZ	Cousins Properties Incorporated	REIT - Office	3.89B
CV	CapsoVision, Inc.	Medical Devices	257.17M
CVBF	CVB Financial Corp.	Banks - Regional	2.61B
CVCO	Cavco Industries, Inc.	Residential Construction	4.48B
CVE	Cenovus Energy Inc.	Oil & Gas Integrated	41.74B
CVEO	Civeo Corporation	Lodging	318.86M
CVGI	Commercial Vehicle Group, Inc.	Auto Parts	58.85M
CVGW	Calavo Growers, Inc.	Food Distribution	479.74M
CVI	CVR Energy, Inc.	Oil & Gas Refining & Marketing	2.43B
CVKD	Cadrenal Therapeutics, Inc.	Biotechnology	19.85M
CVLG	Covenant Logistics Group, Inc.	Trucking	737.39M
CVLT	Commvault Systems, Inc.	Software - Application	3.74B
CVM	CEL-SCI Corporation	Biotechnology	34.48M
CVNA	Carvana Co.	Auto & Truck Dealerships	73.99B
CVR	Chicago Rivet & Machine Co.	Tools & Accessories	13.04M
CVRX	CVRx, Inc.	Medical Devices	214.70M
CVS	CVS Health Corporation	Healthcare Plans	101.65B
CVSA	Covista Inc.	-	3.38B
CVU	CPI Aerostructures, Inc.	Aerospace & Defense	54.46M
CVV	CVD Equipment Corporation	Specialty Industrial Machinery	24.63M
CVX	Chevron Corporation	Oil & Gas Integrated	372.66B
CW	Curtiss-Wright Corporation	Aerospace & Defense	25.82B
CWAN	Clearwater Analytics Holdings, Inc.	Software - Application	6.91B
CWBC	Community West Bancshares	Banks - Regional	445.15M
CWCO	Consolidated Water Co. Ltd.	Utilities - Regulated Water	603.00M
CWD	CaliberCos Inc.	Asset Management	8.42M
CWEN	Clearway Energy, Inc.	Utilities - Renewable	4.55B
CWEN.A	Clearway Energy, Inc.	Utilities - Renewable	7.39B
CWH	Camping World Holdings, Inc.	Auto & Truck Dealerships	859.73M
CWK	Cushman & Wakefield Limited	Real Estate Services	3.11B
CWST	Casella Waste Systems, Inc.	Waste Management	5.92B
CWT	California Water Service Group	Utilities - Regulated Water	2.69B
CX	CEMEX, S.A.B. de C.V.	Building Materials	18.15B
CXAI	CXApp Inc.	Software - Application	6.96M
CXDO	Crexendo, Inc.	Telecom Services	179.47M
CXM	Sprinklr, Inc.	Software - Application	1.44B
CXT	Crane NXT, Co.	Specialty Industrial Machinery	2.77B
CXW	CoreCivic, Inc.	Security & Protection Services	1.73B
CYCN	Cyclerion Therapeutics, Inc.	Biotechnology	5.14M
CYCU	Cycurion, Inc.	Information Technology Services	7.29M
CYD	China Yuchai International Limited	Auto Manufacturers	1.89B
CYH	Community Health Systems, Inc.	Medical Care Facilities	463.17M
CYN	Cyngn Inc.	Software - Application	12.20M
CYPH	Cypherpunk Technologies Inc.	Asset Management	35.36M
CYRX	Cryoport, Inc.	Integrated Freight & Logistics	421.58M
CYTK	Cytokinetics, Incorporated	Biotechnology	7.61B
CZFS	Citizens Financial Services, Inc.	Banks - Regional	288.71M
CZNC	Citizens & Northern Corporation	Banks - Regional	400.31M
CZR	Caesars Entertainment, Inc.	Resorts & Casinos	5.10B
CZWI	Citizens Community Bancorp, Inc.	Banks - Regional	167.44M
D	Dominion Energy, Inc.	Utilities - Regulated Electric	55.49B
DAAQ	Digital Asset Acquisition Corp.	Shell Companies	235.52M
DAC	Danaos Corporation	Marine Shipping	2.16B
DAIC	CID HoldCo, Inc.	Information Technology Services	6.70M
DAIO	Data I/O Corporation	Electronic Components	26.02M
DAKT	Daktronics, Inc.	Electronic Components	1.26B
DAL	Delta Air Lines, Inc.	Airlines	42.68B
DAN	Dana Incorporated	Auto Parts	3.85B
DAO	Youdao, Inc.	Education & Training Services	1.28B
DAR	Darling Ingredients Inc.	Packaged Foods	8.41B
DARE	Daré Bioscience, Inc.	Biotechnology	24.29M
DASH	DoorDash, Inc.	Internet Retail	76.66B
DAVA	Endava plc	Software - Infrastructure	247.30M
DAVE	Dave Inc.	Software - Application	2.61B
DAWN	Day One Biopharmaceuticals, Inc.	Biotechnology	1.09B
DB	Deutsche Bank Aktiengesellschaft	Banks - Regional	68.11B
DBCA	D. Boral Acquisition I Corp.	Shell Companies	425.79M
DBD	Diebold Nixdorf, Incorporated	Software - Application	2.81B
DBI	Designer Brands Inc.	Footwear & Accessories	353.41M
DBRG	DigitalBridge Group, Inc.	Asset Management	2.92B
DBVT	DBV Technologies S.A.	Biotechnology	1.25B
DBX	Dropbox, Inc.	Software - Infrastructure	6.03B
DC	Dakota Gold Corp.	Gold	894.33M
DCBO	Docebo Inc.	Software - Application	496.84M
DCGO	DocGo Inc.	Medical Care Facilities	70.23M
DCH	Dauch Corporation	Auto Parts	1.56B
DCI	Donaldson Company, Inc.	Specialty Industrial Machinery	10.70B
DCO	Ducommun Incorporated	Aerospace & Defense	1.85B
DCOM	Dime Community Bancshares, Inc.	Banks - Regional	1.42B
DCOY	Decoy Therapeutics Inc.	Biotechnology	4.35M
DCTH	Delcath Systems, Inc.	Medical Devices	308.83M
DCX	Digital Currency X Technology Inc.	Auto Manufacturers	4.17M
DD	DuPont de Nemours, Inc.	Specialty Chemicals	20.46B
DDC	DDC Enterprise Limited	Packaged Foods	73.74M
DDD	3D Systems Corporation	Computer Hardware	281.89M
DDI	DoubleDown Interactive Co., Ltd.	Electronic Gaming & Multimedia	452.92M
DDL	Dingdong (Cayman) Limited	Grocery Stores	608.63M
DDOG	Datadog, Inc.	Software - Application	39.62B
DDS	Dillard's, Inc.	Department Stores	9.41B
DE	Deere & Company	Farm & Heavy Construction Machinery	170.09B
DEA	Easterly Government Properties, Inc.	REIT - Office	1.19B
DEC	Diversified Energy Company	Oil & Gas Integrated	1.07B
DECK	Deckers Outdoor Corporation	Footwear & Accessories	16.65B
DEFT	DeFi Technologies Inc.	Capital Markets	268.82M
DEI	Douglas Emmett, Inc.	REIT - Office	2.03B
DELL	Dell Technologies Inc.	Computer Hardware	98.13B
DEO	Diageo plc	Beverages - Wineries & Distilleries	49.75B
DERM	Journey Medical Corporation	Drug Manufacturers - Specialty & Generic	271.71M
DEVS	DevvStream Corp.	Pollution & Treatment Controls	3.78M
DFDV	DeFi Development Corp.	Asset Management	104.03M
DFH	Dream Finders Homes, Inc.	Residential Construction	1.66B
DFIN	Donnelley Financial Solutions, Inc.	Software - Application	1.27B
DFLI	Dragonfly Energy Holdings Corp.	Electrical Equipment & Parts	30.80M
DFNS	T3 Defense Inc.	Shell Companies	29.30M
DFTX	Definium Therapeutics, Inc.	Biotechnology	1.72B
DG	Dollar General Corporation	Discount Stores	34.39B
DGICA	Donegal Group Inc.	Insurance - Property & Casualty	645.62M
DGICB	Donegal Group Inc.	Insurance - Property & Casualty	694.39M
DGII	Digi International Inc.	Communication Equipment	1.84B
DGNX	Diginex Limited	Consulting Services	128.66M
DGX	Quest Diagnostics Incorporated	Diagnostics & Research	23.28B
DGXX	Digi Power X Inc.	Utilities - Independent Power Producers	181.44M
DH	Definitive Healthcare Corp.	Health Information Services	182.80M
DHC	Diversified Healthcare Trust	REIT - Healthcare Facilities	1.64B
DHI	D.R. Horton, Inc.	Residential Construction	46.47B
DHIL	Diamond Hill Investment Group, Inc.	Asset Management	464.97M
DHR	Danaher Corporation	Diagnostics & Research	148.95B
DHT	DHT Holdings, Inc.	Oil & Gas Midstream	3.13B
DHX	DHI Group, Inc.	Software - Application	105.70M
DIBS	1stdibs.Com, Inc.	Internet Content & Information	176.12M
DIN	Dine Brands Global, Inc.	Restaurants	403.92M
DINO	HF Sinclair Corporation	Oil & Gas Refining & Marketing	9.20B
DIOD	Diodes Incorporated	Semiconductors	3.13B
DIS	The Walt Disney Company	Entertainment	187.85B
DIT	AMCON Distributing Company	Food Distribution	72.24M
DJCO	Daily Journal Corporation	Software - Application	701.96M
DJT	Trump Media & Technology Group Corp.	Internet Content & Information	3.00B
DK	Delek US Holdings, Inc.	Oil & Gas Refining & Marketing	2.29B
DKI	Darkiris Inc.	Electronic Gaming & Multimedia	8.77M
DKL	Delek Logistics Partners, LP	Oil & Gas Refining & Marketing	2.78B
DKNG	DraftKings Inc.	Gambling	11.75B
DKS	DICK'S Sporting Goods, Inc.	Specialty Retail	18.32B
DLB	Dolby Laboratories, Inc.	Specialty Business Services	6.36B
DLHC	DLH Holdings Corp.	Specialty Business Services	86.96M
DLNG	Dynagas LNG Partners LP	Oil & Gas Midstream	142.61M
DLO	DLocal Limited	Software - Infrastructure	3.61B
DLPN	Dolphin Entertainment, Inc.	Advertising Agencies	19.88M
DLR	Digital Realty Trust, Inc.	REIT - Specialty	61.99B
DLTH	Duluth Holdings Inc.	Apparel Retail	78.96M
DLTR	Dollar Tree, Inc.	Discount Stores	25.15B
DLX	Deluxe Corporation	Conglomerates	1.25B
DLXY	Delixy Holdings Limited	Oil & Gas Refining & Marketing	15.86M
DMAA	Drugs Made In America Acquisition Corp.	Shell Companies	350.59M
DMAC	DiaMedica Therapeutics Inc.	Biotechnology	425.95M
DMII	Drugs Made In America Acquisition II Corp.	Shell Companies	654.44M
DMLP	Dorchester Minerals, L.P.	Oil & Gas Exploration & Production	1.25B
DMRC	Digimarc Corporation	Software - Application	95.44M
DNA	Ginkgo Bioworks Holdings, Inc.	Biotechnology	383.64M
DNLI	Denali Therapeutics Inc.	Biotechnology	3.31B
DNMX	Dynamix Corporation III	Shell Companies	266.19M
DNN	Denison Mines Corp.	Uranium	3.74B
DNOW	DNOW Inc.	Industrial Distribution	2.20B
DNTH	Dianthus Therapeutics, Inc.	Biotechnology	2.39B
DNUT	Krispy Kreme, Inc.	Grocery Stores	643.33M
DOC	Healthpeak Properties, Inc.	REIT - Healthcare Facilities	12.52B
DOCN	DigitalOcean Holdings, Inc.	Software - Infrastructure	5.16B
DOCS	Doximity, Inc.	Health Information Services	4.53B
DOCU	DocuSign, Inc.	Software - Application	9.03B
DOGZ	Dogness (International) Corporation	Leisure	20.75M
DOLE	Dole plc	Farm Products	1.53B
DOMH	Dominari Holdings Inc.	Capital Markets	49.15M
DOMO	Domo, Inc.	Software - Application	150.06M
DOO	BRP Inc.	Recreational Vehicles	5.38B
DORM	Dorman Products, Inc.	Auto Parts	3.58B
DOUG	Douglas Elliman Inc.	Real Estate Services	202.51M
DOV	Dover Corporation	Specialty Industrial Machinery	30.41B
DOW	Dow Inc.	Chemicals	22.11B
DOX	Amdocs Limited	Software - Infrastructure	7.51B
DOYU	DouYu International Holdings Limited	Internet Content & Information	159.34M
DPRO	Draganfly Inc.	Computer Hardware	224.36M
DPZ	Domino's Pizza, Inc.	Restaurants	13.54B
DQ	Daqo New Energy Corp.	Semiconductor Equipment & Materials	1.62B
DRCT	Direct Digital Holdings, Inc.	Advertising Agencies	2.62M
DRD	DRDGOLD Limited	Gold	3.37B
DRDB	Roman DBDR Acquisition Corp. II	Shell Companies	319.85M
DRH	DiamondRock Hospitality Company	REIT - Hotel & Motel	2.06B
DRI	Darden Restaurants, Inc.	Restaurants	24.62B
DRIO	DarioHealth Corp.	Health Information Services	80.90M
DRMA	Dermata Therapeutics, Inc.	Biotechnology	2.86M
DRS	Leonardo DRS, Inc.	Aerospace & Defense	11.53B
DRTS	Alpha Tau Medical Ltd.	Biotechnology	661.65M
DRUG	Bright Minds Biosciences Inc.	Biotechnology	796.87M
DRVN	Driven Brands Holdings Inc.	Auto & Truck Dealerships	1.81B
DSAC	Daedalus Special Acquisition Corp.	Shell Companies	343.10M
DSGN	Design Therapeutics, Inc.	Biotechnology	594.70M
DSGR	Distribution Solutions Group, Inc.	Industrial Distribution	1.38B
DSGX	The Descartes Systems Group Inc.	Software - Application	5.69B
DSL	DoubleLine Income Solutions Fund	Asset Management - Income	1.31B
DSP	Viant Technology Inc.	Software - Application	632.45M
DSS	DSS, Inc.	Packaging & Containers	9.12M
DSWL	Deswell Industries, Inc.	Electronic Components	57.37M
DSX	Diana Shipping Inc.	Marine Shipping	285.93M
DSY	Big Tree Cloud Holdings Limited	Household & Personal Products	13.61M
DT	Dynatrace, Inc.	Software - Application	10.71B
DTCK	Davis Commodities Limited	Farm Products	2.64M
DTCX	Datacentrex, Inc.	Financial Data & Stock Exchanges	30.37M
DTE	DTE Energy Company	Utilities - Regulated Electric	30.80B
DTI	Drilling Tools International Corporation	Oil & Gas Equipment & Services	122.49M
DTIL	Precision BioSciences, Inc.	Biotechnology	101.10M
DTM	DT Midstream, Inc.	Oil & Gas Midstream	14.12B
DTSQ	DT Cloud Star Acquisition Corporation	Shell Companies	98.53M
DTSS	Datasea Inc.	Software - Infrastructure	9.54M
DTST	Data Storage Corporation	Information Technology Services	8.67M
DUK	Duke Energy Corporation	Utilities - Regulated Electric	101.76B
DUO	Fangdd Network Group Ltd.	Real Estate Services	45.10M
DUOL	Duolingo, Inc.	Software - Application	4.71B
DUOT	Duos Technologies Group, Inc.	Software - Application	154.13M
DV	DoubleVerify Holdings, Inc.	Advertising Agencies	1.71B
DVA	DaVita Inc.	Medical Care Facilities	10.44B
DVLT	Datavault AI Inc.	Software - Infrastructure	411.91M
DVN	Devon Energy Corporation	Oil & Gas Exploration & Production	26.99B
DVS	Dolly Varden Silver Corporation	Silver	462.14M
DWSN	Dawson Geophysical Company	Oil & Gas Equipment & Services	106.18M
DWTX	Dogwood Therapeutics, Inc.	Biotechnology	94.89M
DX	Dynex Capital, Inc.	REIT - Mortgage	2.83B
DXC	DXC Technology Company	Information Technology Services	2.14B
DXCM	DexCom, Inc.	Medical Devices	28.26B
DXF	Eason Technology Limited	Credit Services	3.03M
DXLG	Destination XL Group, Inc.	Apparel Retail	27.14M
DXPE	DXP Enterprises, Inc.	Industrial Distribution	2.15B
DXR	Daxor Corporation	Medical Instruments & Supplies	69.11M
DXST	Decent Holding Inc.	Waste Management	4.98M
DY	Dycom Industries, Inc.	Engineering & Construction	12.59B
DYAI	Dyadic International, Inc.	Biotechnology	28.19M
DYN	Dyne Therapeutics, Inc.	Biotechnology	2.57B
DYOR	Insight Digital Partners II	Shell Companies	228.62M
E	Eni S.p.A.	Oil & Gas Integrated	68.31B
EA	Electronic Arts Inc.	Electronic Gaming & Multimedia	50.19B
EAF	GrafTech International Ltd.	Electrical Equipment & Parts	179.45M
EARN	Ellington Credit Company	Asset Management	183.71M
EAT	Brinker International, Inc.	Restaurants	6.45B
EB	Eventbrite, Inc.	Internet Content & Information	443.92M
EBAY	eBay Inc.	Internet Retail	40.71B
EBC	Eastern Bankshares, Inc.	Banks - Regional	4.41B
EBF	Ennis, Inc.	Business Equipment & Supplies	533.93M
EBMT	Eagle Bancorp Montana, Inc.	Banks - Regional	169.57M
EBON	Ebang International Holdings Inc.	Computer Hardware	15.99M
EBS	Emergent BioSolutions Inc.	Drug Manufacturers - Specialty & Generic	424.62M
EC	Ecopetrol S.A.	Oil & Gas Integrated	24.49B
ECBK	ECB Bancorp, Inc.	Banks - Regional	151.15M
ECC	Eagle Point Credit Company Inc.	Asset Management	527.26M
ECG	Everus Construction Group, Inc.	Engineering & Construction	6.17B
ECL	Ecolab Inc.	Specialty Chemicals	86.95B
ECO	Okeanis Eco Tankers Corp.	Marine Shipping	2.05B
ECOR	electroCore, Inc.	Medical Devices	60.61M
ECPG	Encore Capital Group, Inc.	Credit Services	1.46B
ECVT	Ecovyst Inc.	Specialty Chemicals	1.26B
ECX	ECARX Holdings Inc.	Auto Parts	587.65M
ED	Consolidated Edison, Inc.	Utilities - Regulated Electric	40.65B
EDAP	EDAP TMS S.A.	Medical Distribution	163.40M
EDBL	Edible Garden AG Incorporated	Farm Products	1.52M
EDHL	Everbright Digital Holding Limited	Advertising Agencies	4.33M
EDIT	Editas Medicine, Inc.	Biotechnology	214.76M
EDN	Empresa Distribuidora y Comercializadora Norte Sociedad Anónima	Utilities - Regulated Electric	1.14B
EDRY	EuroDry Ltd.	Marine Shipping	63.53M
EDSA	Edesa Biotech, Inc.	Biotechnology	18.37M
EDTK	Skillful Craftsman Education Technology Limited	Education & Training Services	13.85M
EDU	New Oriental Education & Technology Group Inc.	Education & Training Services	8.70B
EDUC	Educational Development Corporation	Publishing	11.58M
EE	Excelerate Energy, Inc.	Oil & Gas Midstream	4.59B
EEFT	Euronet Worldwide, Inc.	Software - Infrastructure	2.92B
EEIQ	EpicQuest Education Group International Limited	Education & Training Services	3.49M
EEX	Emerald Holding, Inc.	Advertising Agencies	824.86M
EFC	Ellington Financial Inc.	REIT - Mortgage	1.56B
EFOI	Energy Focus, Inc.	Furnishings, Fixtures & Appliances	10.04M
EFSC	Enterprise Financial Services Corp	Banks - Regional	2.11B
EFSI	Eagle Financial Services, Inc.	Banks - Regional	184.04M
EFTY	Etoiles Capital Group Co., Ltd	Consulting Services	302.05M
EFX	Equifax Inc.	Consulting Services	25.13B
EFXT	Enerflex Ltd.	Oil & Gas Equipment & Services	2.73B
EG	Everest Group, Ltd.	Insurance - Reinsurance	13.55B
EGAN	eGain Corporation	Software - Application	255.79M
EGBN	Eagle Bancorp, Inc.	Banks - Regional	772.65M
EGG	Enigmatig Limited	Consulting Services	132.74M
EGHA	EGH Acquisition Corp.	Shell Companies	209.10M
EGHT	8x8, Inc.	Software - Application	298.14M
EGO	Eldorado Gold Corporation	Gold	9.20B
EGP	EastGroup Properties, Inc.	REIT - Industrial	10.45B
EGY	VAALCO Energy, Inc.	Oil & Gas Exploration & Production	536.93M
EH	EHang Holdings Limited	Aerospace & Defense	882.55M
EHAB	Enhabit, Inc.	Medical Care Facilities	690.34M
EHC	Encompass Health Corporation	Medical Care Facilities	10.73B
EHGO	Eshallgo Inc.	Business Equipment & Supplies	6.80M
EHLD	Euroholdings Ltd.	Marine Shipping	19.85M
EHTH	eHealth, Inc.	Insurance Brokers	39.99M
EIC	Eagle Point Income Company Inc.	Asset Management	232.53M
EIG	Employers Holdings, Inc.	Insurance - Specialty	841.15M
EIKN	Eikon Therapeutics, Inc.	Biotechnology	743.90M
EIX	Edison International	Utilities - Regulated Electric	28.76B
EJH	E-Home Household Service Holdings Limited	Personal Services	55.20M
EKSO	Ekso Bionics Holdings, Inc.	Medical Instruments & Supplies	36.13M
EL	The Estée Lauder Companies Inc.	Household & Personal Products	39.60B
ELA	Envela Corporation	Luxury Goods	349.47M
ELAB	PMGC Holdings Inc.	Biotechnology	3.87M
ELAN	Elanco Animal Health Incorporated	Drug Manufacturers - Specialty & Generic	13.13B
ELBM	Electra Battery Materials Corporation	Other Industrial Metals & Mining	77.84M
ELDN	Eledon Pharmaceuticals, Inc.	Biotechnology	207.90M
ELE	Elemental Royalty Corporation	Other Precious Metals & Mining	1.50B
ELF	e.l.f. Beauty, Inc.	Household & Personal Products	5.44B
ELLO	Ellomay Capital Ltd.	Utilities - Renewable	332.04M
ELMD	Electromed, Inc.	Medical Devices	196.12M
ELME	Elme Communities	REIT - Residential	189.57M
ELOG	Eastern International Ltd.	Integrated Freight & Logistics	15.38M
ELPC	Companhia Paranaense de Energia - COPEL	Utilities - Regulated Electric	8.48B
ELPW	Elong Power Holding Limited	Electrical Equipment & Parts	1.35M
ELS	Equity LifeStyle Properties, Inc.	REIT - Residential	13.46B
ELSE	Electro-Sensors, Inc.	Scientific & Technical Instruments	14.97M
ELTK	Eltek Ltd.	Electronic Components	60.37M
ELTX	Elicio Therapeutics, Inc.	Biotechnology	227.00M
ELUT	Elutia Inc.	Medical Devices	49.22M
ELV	Elevance Health, Inc.	Healthcare Plans	70.63B
ELVA	Electrovaya Inc.	Electrical Equipment & Parts	371.21M
ELVN	Enliven Therapeutics, Inc.	Biotechnology	1.76B
ELVR	Elevra Lithium Limited	Other Industrial Metals & Mining	984.62M
ELWT	Elauwit Connection, Inc.	Telecom Services	50.58M
EM	Smart Share Global Limited	Personal Services	286.58M
EMA	Emera Incorporated	Utilities - Regulated Electric	15.77B
EMAT	Evolution Metals & Technologies Corp.	Other Industrial Metals & Mining	4.73B
EMBC	Embecta Corp.	Medical Instruments & Supplies	607.60M
EMBJ	Embraer S.A.	Aerospace & Defense	12.89B
EME	EMCOR Group, Inc.	Engineering & Construction	32.27B
EMIS	Emmis Acquisition Corp.	Shell Companies	158.55M
EML	The Eastern Company	Tools & Accessories	112.69M
EMN	Eastman Chemical Company	Specialty Chemicals	8.61B
EMPD	Empery Digital Inc.	Auto Manufacturers	134.33M
EMPG	Empro Group Inc.	Medical Distribution	144.63M
EMR	Emerson Electric Co.	Specialty Industrial Machinery	84.72B
ENB	Enbridge Inc.	Oil & Gas Midstream	115.95B
ENGN	enGene Holdings Inc.	Biotechnology	677.26M
ENGS	Energys Group Limited	Waste Management	26.18M
ENIC	Enel Chile S.A.	Utilities - Regulated Electric	5.79B
ENLT	Enlight Renewable Energy Ltd	Utilities - Renewable	9.47B
ENLV	Enlivex Ltd.	Biotechnology	272.99M
ENOV	Enovis Corporation	Medical Devices	1.46B
ENPH	Enphase Energy, Inc.	Solar	5.54B
ENR	Energizer Holdings, Inc.	Electrical Equipment & Parts	1.48B
ENS	EnerSys	Electrical Equipment & Parts	6.12B
ENSC	Ensysce Biosciences, Inc.	Biotechnology	2.26M
ENSG	The Ensign Group, Inc.	Medical Care Facilities	12.35B
ENTA	Enanta Pharmaceuticals, Inc.	Biotechnology	414.98M
ENTG	Entegris, Inc.	Semiconductor Equipment & Materials	20.12B
ENTX	Entera Bio Ltd.	Biotechnology	63.74M
ENVA	Enova International, Inc.	Credit Services	3.48B
ENVB	Enveric Biosciences, Inc.	Biotechnology	3.27M
ENVX	Enovix Corporation	Electrical Equipment & Parts	1.11B
EOG	EOG Resources, Inc.	Oil & Gas Exploration & Production	66.57B
EOLS	Evolus, Inc.	Drug Manufacturers - Specialty & Generic	278.73M
EONR	EON Resources Inc.	Oil & Gas Exploration & Production	21.59M
EOSE	Eos Energy Enterprises, Inc.	Electrical Equipment & Parts	1.85B
EP	Empire Petroleum Corporation	Oil & Gas Exploration & Production	116.17M
EPAC	Enerpac Tool Group Corp.	Specialty Industrial Machinery	2.15B
EPAM	EPAM Systems, Inc.	Information Technology Services	7.63B
EPC	Edgewell Personal Care Company	Household & Personal Products	1.06B
EPD	Enterprise Products Partners L.P.	Oil & Gas Midstream	78.18B
EPM	Evolution Petroleum Corporation	Oil & Gas Exploration & Production	152.53M
EPOW	E-Power Inc.	Electrical Equipment & Parts	31.44M
EPR	EPR Properties	REIT - Specialty	4.55B
EPRT	Essential Properties Realty Trust, Inc.	REIT - Retail	7.14B
EPRX	Eupraxia Pharmaceuticals Inc.	Biotechnology	491.18M
EPSM	Epsium Enterprise Limited	Beverages - Wineries & Distilleries	17.67M
EPSN	Epsilon Energy Ltd.	Oil & Gas Exploration & Production	153.05M
EQ	Equillium, Inc.	Biotechnology	110.83M
EQBK	Equity Bancshares, Inc.	Banks - Regional	850.25M
EQH	Equitable Holdings, Inc.	Asset Management	11.39B
EQIX	Equinix, Inc.	REIT - Specialty	95.73B
EQNR	Equinor ASA	Oil & Gas Integrated	73.72B
EQPT	EquipmentShare.com Inc.	Rental & Leasing Services	7.29B
EQR	Equity Residential	REIT - Residential	24.45B
EQS	Equus Total Return, Inc.	Asset Management	18.86M
EQT	EQT Corporation	Oil & Gas Exploration & Production	38.38B
EQX	Equinox Gold Corp.	Gold	14.80B
ERAS	Erasca, Inc.	Biotechnology	4.23B
ERIC	Telefonaktiebolaget LM Ericsson (publ)	Communication Equipment	38.65B
ERIE	Erie Indemnity Company	Insurance Brokers	14.09B
ERII	Energy Recovery, Inc.	Pollution & Treatment Controls	551.00M
ERNA	Ernexa Therapeutics Inc.	Biotechnology	7.72M
ERO	Ero Copper Corp.	Copper	3.55B
ES	Eversource Energy	Utilities - Regulated Electric	28.62B
ESAB	ESAB Corporation	Metal Fabrication	7.66B
ESBA	Empire State Realty OP, L.P.	REIT - Office	1.69B
